tconst,parentTconst,seasonNumber,episodeNumber
tt10018762,tt10016374,NULL,NULL
tt10018764,tt10016374,NULL,NULL
tt10018766,tt10016374,NULL,NULL
tt10018768,tt10016374,NULL,NULL
tt10019446,tt10016378,1,1
tt10019448,tt10016378,1,2
tt10019450,tt10016378,1,3
tt10019500,tt10016378,1,4
tt10019502,tt10016378,1,5
tt10019506,tt10016378,1,6
tt10019508,tt10016378,1,7
tt10019510,tt10016380,1,1
tt10019514,tt10016380,1,2
tt10019516,tt10016380,1,3
tt10019520,tt10016380,1,4
tt10019526,tt10016380,1,5
tt10019528,tt10016380,1,6
tt10019532,tt10016396,1,1
tt10019542,tt10016396,1,3
tt10019544,tt10016396,1,2
tt10019548,tt10016396,1,4
tt10019550,tt10016396,1,5
tt10019556,tt10016396,1,6
tt10019576,tt10016396,1,7
tt10019580,tt10016398,1,1
tt10019586,tt10016398,1,3
tt10019588,tt10016398,1,2
tt10019592,tt10016398,1,4
tt10019596,tt10016398,1,5
tt10019598,tt10016398,1,6
tt10019600,tt10016398,1,7
tt10019604,tt10016404,1,2
tt10019606,tt10016404,1,3
tt10019608,tt10016404,1,4
tt10019610,tt10016404,1,5
tt10019612,tt10016404,1,6
tt10019614,tt10016404,1,7
tt10019616,tt10016404,1,9
tt10019618,tt10016404,1,8
tt10019622,tt10016404,1,1
tt10019628,tt10016404,1,11
tt10019636,tt10016404,1,13
tt10019642,tt10016404,1,12
tt10019646,tt10016404,1,14
tt10019650,tt10016404,1,15
tt10019654,tt10016404,1,16
tt10019656,tt10016404,1,18
tt10019660,tt10016404,1,17
tt10019662,tt10016404,1,20
tt10019670,tt10016404,1,21
tt10019674,tt10016404,1,22
tt10019678,tt10016404,1,23
tt10019680,tt10016404,1,24
tt10019686,tt10016404,1,25
tt10020066,tt10016348,1,1
tt10020068,tt10016348,1,2
tt10020070,tt10016348,1,3
tt10020072,tt10016348,1,4
tt10020074,tt10016348,1,5
tt10020076,tt10016348,1,6
tt10020080,tt10016348,1,7
tt10020082,tt10016348,1,8
tt10020084,tt10016348,1,9
tt10020090,tt10016348,1,11
tt10020094,tt10016350,1,3
tt10020096,tt10016350,1,4
tt10020100,tt10016350,1,5
tt10020102,tt10016350,1,7
tt10020104,tt10016350,1,6
tt10020108,tt10016350,1,8
tt10020118,tt10016352,1,4
tt10020122,tt10016352,1,3
tt10020128,tt10016352,1,9
tt10020130,tt10016352,1,7
tt10020134,tt10016352,1,11
tt10020136,tt10016352,1,15
tt10020138,tt10016352,1,14
tt10020142,tt10016352,1,17
tt10020144,tt10016352,1,18
tt10020152,tt10016352,1,19
tt10020154,tt10016352,1,22
tt10020156,tt10016352,1,23
tt10020158,tt10016352,1,21
tt10020160,tt10016352,1,2
tt10020192,tt10016352,1,5
tt10020194,tt10016352,1,6
tt10020200,tt10016352,1,1
tt10020202,tt10016352,1,8
tt10020210,tt10016352,1,13
tt10020212,tt10016352,1,12
tt10020216,tt10016352,1,16
tt10020222,tt10016352,1,24
tt10020228,tt10016352,1,26
tt10020232,tt10016352,1,25
tt10020286,tt10016352,1,27
tt10020290,tt10016362,1,2
tt10020292,tt10016362,1,3
tt10020300,tt10016362,1,8
tt10020302,tt10016362,1,6
tt10020304,tt10016362,1,4
tt10020306,tt10016362,1,9
tt10020308,tt10016362,1,7
tt10020312,tt10016362,1,5
tt10020318,tt10016362,1,12
tt10020326,tt10016362,1,11
tt10020332,tt10016362,2,3
tt10020334,tt10016362,2,5
tt10020336,tt10016362,2,4
tt10020340,tt10016362,2,6
tt10020344,tt10016362,2,7
tt10020352,tt10016362,2,8
tt10020354,tt10016362,2,9
tt10020360,tt10016362,2,1
tt10020362,tt10016366,1,1
tt10020366,tt10016366,1,2
tt10020368,tt10016366,1,3
tt10020370,tt10016366,1,4
tt10020372,tt10016366,1,5
tt10020378,tt10016366,1,6
tt10020382,tt10017528,1,1
tt10020526,tt10014624,1,1
tt10020624,tt10016350,1,1
tt10020628,tt10016350,1,2
tt10020674,tt10016362,2,2
tt10021580,tt10014904,1,1
tt10021620,tt10011130,1,1
tt10021626,tt10011130,1,2
tt10021634,tt10011130,2,3
tt10021642,tt10011130,2,4
tt10021648,tt10011130,2,5
tt10021672,tt10021056,1,1
tt10021848,tt10021056,1,2
tt10021910,tt10021056,1,3
tt10023066,tt10014904,1,2
tt10023072,tt10014904,1,3
tt10023114,tt10016580,1,1
tt10023156,tt10016580,1,2
tt10023158,tt10016580,1,3
tt10023160,tt10016580,1,4
tt10023162,tt10016580,1,5
tt10023164,tt10016580,1,6
tt10023166,tt10016580,1,7
tt10023170,tt10016580,1,8
tt10023238,tt10022000,1,1
tt10023242,tt10022000,1,2
tt10023244,tt10016342,1,2
tt10023246,tt10022000,1,3
tt10023248,tt10022000,1,4
tt10023250,tt10022000,1,5
tt10023470,tt10021056,1,4
tt10023482,tt10021056,1,5
tt10023488,tt10021056,1,6
tt10023826,tt10021056,1,7
tt10023868,tt10021056,1,8
tt10025240,tt10024310,1,1
tt10025304,tt10024310,1,2
tt10025356,tt10024310,1,3
tt10025398,tt10024310,1,4
tt10025456,tt10024310,1,5
tt10025680,tt10023142,NULL,NULL
tt10025898,tt10024596,NULL,NULL
tt10026100,tt10014624,1,2
tt10026198,tt10022770,1,1
tt10026756,tt10004066,1,14
tt10026800,tt10004066,1,16
tt10026804,tt10004066,1,17
tt10026814,tt10004066,1,18
tt10026826,tt10004066,1,19
tt10026852,tt10004066,1,20
tt10026870,tt10004066,1,21
tt10026874,tt10024310,1,6
tt10026876,tt10004066,1,22
tt10026880,tt10004066,1,23
tt10026884,tt10004066,1,24
tt10026886,tt10004066,1,25
tt10026888,tt10024310,1,7
tt10026890,tt10004066,1,26
tt10026900,tt10024310,2,8
tt10026918,tt10024310,2,9
tt10026930,tt10024310,2,10
tt10027660,tt10027518,1,1
tt10027668,tt10027518,1,2
tt10028036,tt10026844,1,1
tt10028118,tt10026844,1,2
tt10029078,tt10027366,1,1
tt10029384,tt10021056,1,9
tt10029416,tt10021056,1,10
tt10029440,tt10029274,1,2
tt10029450,tt10029274,1,1
tt10029464,tt10021056,1,11
tt10029520,tt10029118,NULL,NULL
tt10029538,tt10023126,1,1
tt10029560,tt10023126,1,6
tt10029564,tt10029118,NULL,NULL
tt10029610,tt10029320,NULL,NULL
tt10029662,tt10029320,NULL,NULL
tt10029682,tt10029320,NULL,NULL
tt10029748,tt10029320,NULL,NULL
tt10029774,tt10029320,NULL,NULL
tt10029808,tt10029320,NULL,NULL
tt10031974,tt10021056,1,12
tt10032002,tt10021056,1,13
tt10032038,tt10021056,1,14
tt10032744,tt10032530,1,1
tt10032766,tt10032180,1,1
tt10033338,tt10026844,1,3
tt10033434,tt10032530,1,2
tt10033464,tt10032530,1,3
tt10033480,tt10032530,1,4
tt10033526,tt10032530,1,5
tt10033576,tt10032530,1,6
tt10033586,tt10032530,1,7
tt10033590,tt10032530,1,8
tt10033602,tt10032530,1,9
tt10033606,tt10032530,1,10
tt10033608,tt10011148,NULL,NULL
tt10033610,tt10032530,1,11
tt10033614,tt10032530,1,12
tt10033620,tt10032530,1,13
tt10033628,tt10032530,1,14
tt10033640,tt10032530,1,15
tt10033648,tt10032530,1,16
tt10034110,tt10034044,1,1
tt10034114,tt10034044,2,2
tt10034116,tt10034044,2,3
tt10034118,tt10034044,2,4
tt10034120,tt10034044,1,5
tt10034122,tt10034044,1,6
tt10034128,tt10034044,1,7
tt10034130,tt10034044,1,8
tt10034462,tt10028600,NULL,NULL
tt10036642,tt10021056,1,15
tt10036648,tt10021056,1,16
tt10038424,tt10026844,1,4
tt10038644,tt10016342,1,3
tt10038656,tt10016342,1,4
tt10038856,tt10035042,1,7
tt10039016,tt10035042,1,1
tt10039186,tt10037682,1,1
tt10039196,tt10037682,1,3
tt10039204,tt10037682,1,4
tt10039212,tt10037682,1,6
tt10039224,tt10037682,1,7
tt10039230,tt10037682,1,8
tt10039236,tt10037682,1,9
tt10039250,tt10037682,1,11
tt10039260,tt10037682,1,14
tt10039326,tt10037682,1,15
tt10039720,tt10034044,2,1
tt10039728,tt10034044,2,10
tt10039734,tt10034044,1,3
tt10039742,tt10034044,1,4
tt10039746,tt10034044,2,5
tt10039752,tt10034044,2,6
tt10039754,tt10034044,2,7
tt10039762,tt10034044,2,8
tt10042340,tt10010222,1,1
tt10044042,tt10043962,1,1
tt10044080,tt10043962,1,2
tt10044092,tt10043962,1,3
tt10044108,tt10043962,1,4
tt10044120,tt10043962,1,5
tt10044132,tt10043962,1,6
tt10044140,tt10043962,1,7
tt10044676,tt10234636,NULL,NULL
tt10044996,tt10035042,1,2
tt10045000,tt10035042,1,3
tt10045006,tt10035042,1,4
tt10045012,tt10035042,1,5
tt10045018,tt10035042,1,6
tt10045020,tt10035042,1,8
tt10045028,tt10035042,1,9
tt10045034,tt10035042,1,10
tt10045038,tt10035042,1,11
tt10045040,tt10035042,1,12
tt10045800,tt10025350,1,1
tt10045802,tt10025350,1,2
tt10045804,tt10025350,1,3
tt10045810,tt10025350,1,4
tt10045816,tt10025350,1,5
tt10045820,tt10025350,1,6
tt10045824,tt10025350,1,7
tt10045830,tt10025350,1,8
tt10045836,tt10025350,1,9
tt10045838,tt10025350,1,10
tt10045840,tt10025350,1,11
tt10045842,tt10025350,1,12
tt10045848,tt10025350,1,13
tt10045852,tt10025350,1,14
tt10045854,tt10025350,1,15
tt10048436,tt10042850,1,1
tt10048440,tt10042850,1,2
tt10048450,tt10042850,1,3
tt10048484,tt10045512,1,1
