ID,genre
tt0035235,0
tt0060361,0
tt0069049,1
tt0100275,1
tt0100275,2
tt0100275,3
tt0110152,0
tt0111414,2
tt0111596,1
tt0111596,4
tt0111596,5
tt0112502,6
tt0112502,7
tt0130071,0
tt0130071,8
tt0137204,2
tt0137204,8
tt0137204,9
tt0137818,27
tt0158388,0
tt0158388,8
tt0170057,0
tt0176934,0
tt0176934,10
tt0182285,27
tt0184221,27
tt0185478,0
tt0188360,2
tt0192528,1
tt0194207,0
tt0199217,11
tt0199217,12
tt0224204,0
tt0230873,0
tt0231955,13
tt0252296,0
tt0252296,1
tt0252316,1
tt0252316,14
tt0254173,0
tt0256732,0
tt0256732,10
tt0261660,27
tt0269768,0
tt0269768,1
tt0269768,10
tt0270011,0
tt0270011,10
tt0271577,0
tt0271577,1
tt0272997,0
tt0275392,13
tt0275392,15
tt0276568,1
tt0276568,4
tt0277124,27
tt0280468,0
tt0283440,16
tt0295481,0
tt0297400,1
tt0297400,5
tt0303570,17
tt0305811,1
tt0308078,10
tt0308256,0
tt0308256,10
tt0315642,1
tt0315642,4
tt0315642,5
tt0328810,1
tt0328810,13
tt0331314,2
tt0331314,8
tt0331314,9
tt0337926,1
tt0337926,18
tt0339736,6
tt0346045,1
tt0346045,2
tt0346102,0
tt0346102,10
tt0357159,0
tt0357159,2
tt0357159,8
tt0359111,0
tt0359111,2
tt0359111,8
tt0359113,0
tt0359113,2
tt0359113,9
tt0359114,0
tt0359114,2
tt0359114,8
tt0360556,1
tt0360556,7
tt0360556,16
tt0364201,4
tt0365545,1
tt0365545,2
tt0365545,19
tt0369610,4
tt0369610,9
tt0369610,16
tt0376479,1
tt0376479,5
tt0380870,2
tt0383158,11
tt0383158,12
tt0389717,27
tt0392988,2
tt0392988,10
tt0400059,1
tt0400059,5
tt0400059,10
tt0404771,0
tt0420097,0
tt0420097,2
tt0420293,1
tt0420293,14
tt0420293,18
tt0422842,0
tt0422842,2
tt0422842,8
tt0427543,1
tt0443533,1
tt0443533,19
tt0443533,20
tt0449571,4
tt0449571,7
tt0449571,16
tt0451201,6
tt0451279,3
tt0451279,4
tt0451279,9
tt0460890,1
tt0461165,0
tt0461165,2
tt0461165,13
tt0462335,1
tt0462335,16
tt0465246,0
tt0470936,1
tt0475290,1
tt0475290,2
tt0475290,21
tt0475784,1
tt0475784,16
tt0475784,21
tt0478970,2
tt0478970,4
tt0478970,16
tt0490215,1
tt0490215,14
tt0491175,1
tt0491175,2
tt0491175,5
tt0491203,1
tt0491203,14
tt0491203,19
tt0493076,1
tt0493076,18
tt0493076,22
tt0493405,2
tt0493405,4
tt0493405,5
tt0498381,1
tt0498381,6
tt0498381,21
tt0526026,10
tt0526026,14
tt0526026,18
tt0547385,23
tt0547435,23
tt0547535,23
tt0547546,23
tt0547557,23
tt0547568,23
tt0547579,23
tt0547581,23
tt0547582,23
tt0547775,23
tt0547786,23
tt0547797,23
tt0547804,23
tt0547805,23
tt0548123,23
tt0548291,23
tt0548292,23
tt0548293,23
tt0548854,23
