ID,genre
0,Short
1,Drama
2,Comedy
3,Fantasy
4,Action
5,Crime
6,Horror
7,Thriller
8,Animation
9,Adventure
10,Documentary
11,Sport
12,Talk-Show
13,Family
14,History
15,Musical
16,Sci-Fi
17,News
18,Biography
19,Romance
20,War
21,Mystery
22,Music
23,Game-Show
24,Reality-TV
25,Adult
26,Western
27,NULL
